"","player1","player2","win1","win2"
"111","Akgul Amanmuradova","Anastasia Pavlyuchenkova",0,1
"112","Akgul Amanmuradova","Maria Kirilenko",0,1
"113","Akgul Amanmuradova","Roberta Vinci",0,1
"114","Alberta Brianti","Misaki Doi",0,1
"115","Aldila Sutjiadi","Fiona Ferro",0,1
"116","Aleksandra Krunic","Andrea Petkovic",0,1
"117","Aleksandra Krunic","Anett Kontaveit",0,1
"118","Aleksandra Krunic","Bernarda Pera",0,1
"119","Aleksandra Krunic","Cori Gauff",0,1
"120","Aleksandra Krunic","Elina Svitolina",0,1
"121","Aleksandra Krunic","Jaqueline Cristian",0,1
"122","Aleksandra Krunic","Kaja Juvan",0,1
"123","Aleksandra Krunic","Maryna Zanevska",0,1
"124","Aleksandra Krunic","Timea Babos",0,1
"125","Aleksandra Wozniak","Caroline Garcia",0,1
"126","Aleksandra Wozniak","Kate Makarova",0,1
"127","Aleksandra Wozniak","Kristina Mladenovic",0,2
"128","Aleksandra Wozniak","Sloane Stephens",0,1
"129","Aleksandra Wozniak","Victoria Azarenka",0,1
"130","Alexa Glatch","Christina Mchale",0,1
"131","Alexa Glatch","Romina Oprandi",0,1
"132","Alexa Glatch","Sara Sorribes Tormo",0,1
"133","Alexandra Cadantu Ignatik","Andrea Hlavackova",1,0
"134","Alexandra Cadantu Ignatik","Angelique Kerber",0,1
"135","Alexandra Cadantu Ignatik","Bojana Jovanovski",0,1
"136","Alexandra Cadantu Ignatik","Elina Svitolina",0,1
"137","Alexandra Cadantu Ignatik","Galina Voskoboeva",1,0
"138","Alexandra Cadantu Ignatik","Heather Watson",0,1
"139","Alexandra Cadantu Ignatik","Irina Camelia Begu",1,0
"140","Alexandra Cadantu Ignatik","Jelena Jankovic",0,1
"141","Alexandra Cadantu Ignatik","Julia Goerges",0,1
"142","Alexandra Cadantu Ignatik","Karin Knapp",0,1
"143","Alexandra Cadantu Ignatik","Kimiko Date Krumm",0,1
"144","Alexandra Cadantu Ignatik","Kristina Mladenovic",0,1
"145","Alexandra Cadantu Ignatik","Madison Keys",0,1
"146","Alexandra Cadantu Ignatik","Mandy Minella",1,0
"147","Alexandra Cadantu Ignatik","Maria Joao Koehler",2,0
"148","Alexandra Cadantu Ignatik","Melanie Klaffner",1,0
"149","Alexandra Cadantu Ignatik","Michaella Krajicek",1,0
"150","Alexandra Cadantu Ignatik","Monica Niculescu",0,1
"151","Alexandra Cadantu Ignatik","Nadiya Kichenok",1,0
"152","Alexandra Cadantu Ignatik","Olga Govortsova",0,1
"153","Alexandra Cadantu Ignatik","Patricia Mayr Achleitner",1,0
"154","Alexandra Cadantu Ignatik","Petra Kvitova",0,1
"155","Alexandra Cadantu Ignatik","Sabina Sharipova",1,0
"156","Alexandra Cadantu Ignatik","Sabine Lisicki",1,0
"157","Alexandra Cadantu Ignatik","Sara Errani",0,1
"158","Alexandra Cadantu Ignatik","Shahar Peer",2,0
"159","Alexandra Cadantu Ignatik","Simona Halep",0,1
"160","Alexandra Cadantu Ignatik","Tamira Paszek",1,0
"161","Alexandra Cadantu Ignatik","Tereza Mrdeza",1,0
"162","Alexandra Dulgheru","Ana Ivanovic",0,1
"163","Alexandra Dulgheru","Andrea Petkovic",0,1
"164","Alexandra Dulgheru","Caroline Garcia",0,1
"165","Alexandra Dulgheru","Lara Arruabarrena",0,1
"166","Alexandra Dulgheru","Lourdes Dominguez Lino",0,1
"167","Alexandra Dulgheru","Magdalena Rybarikova",0,1
"168","Alexandra Dulgheru","Maria Sharapova",0,1
"169","Alexandra Dulgheru","Shuai Peng",0,1
"170","Alexandra Mueller","Heather Watson",0,1
"171","Alexandra Panova","Flavia Pennetta",0,1
"172","Alexandra Panova","Galina Voskoboeva",0,1
"173","Alexandra Panova","Irina Camelia Begu",0,1
"174","Alexandra Panova","Sabine Lisicki",0,1
"175","Alexandra Panova","Shahar Peer",0,1
"176","Aliaksandra Sasnovich","Ana Bogdan",1,0
"177","Aliaksandra Sasnovich","Ana Konjuh",0,1
"178","Aliaksandra Sasnovich","Anett Kontaveit",0,1
"179","Aliaksandra Sasnovich","Angelique Kerber",0,1
"180","Aliaksandra Sasnovich","Anna Bondar",1,0
"181","Aliaksandra Sasnovich","Aryna Sabalenka",0,1
"182","Aliaksandra Sasnovich","Camila Osorio",1,1
"183","Aliaksandra Sasnovich","Christina Mchale",1,0
"184","Aliaksandra Sasnovich","Clara Burel",0,1
"185","Aliaksandra Sasnovich","Cristina Bucsa",1,0
